,city_in_israel,star_rate,guests_number,bedroom_number,beds_number,baths_number,price_for_night,cleanliness_rate,communication_rate,check_in_rate,accuracy_rate,location_rate,value_rate,balcony,wifi,tv
0,"Tiberias, North District, Israel",4.56 ·,4,1,2,1,207,4.8,4.9,4.9,4.8,4.3,4.6,no,yes,yes
1,"Tveria, Lower Galilee, Israel",4.66 ·,5,Studio,3,1,371,4.6,4.8,4.8,4.8,4.8,4.8,yes,yes,yes
2,"Tiberias, North District, Israel",4.80 ·,4,Studio,2,1,451,4.8,4.7,4.7,4.3,4.9,4.9,no,yes,yes
3,"טבריה, מחוז הצפון, Israel",4.88 ·,6,2,3,1.5,156,4.8,4.9,4.8,4.9,4.9,4.9,no,yes,yes
4,"Tiberias, North District, Israel",4.86 ·,6,2,3,1,329,4.9,5,4.9,4.9,5,4.9,yes,yes,yes
5,"Tiberias, North District, Israel",4.73 ·,6,2,2,1.5,448,4.2,4.9,4.5,4.5,4.4,4.2,yes,yes,yes
6,"Tiberias, North District, Israel",4.93 ·,6,2,3,2,512,4.7,5,5,5,4.8,4.9,no,yes,yes
7,"Tiberias, North District, Israel",4.61 ·,3,1,1,1,329,4.7,4.7,4.7,4.7,4.8,4.5,no,yes,yes
8,"Mount Arbel, North District, Israel",,5,1,2,1,130,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
9,"Tiberius , Israel, Israel",4.85 ·,1,1,4,1,110,4.7,4.9,4.9,4.9,4.7,4.9,no,yes,yes
10,"Tiberias, israel, Israel",4.62 ·,1,3,6,2,487,4.4,4.9,4.9,4.7,4.7,4.6,no,yes,yes
11,"Tiberias, North District, Israel",4.62 ·,8,3,4,2,471,4.5,5,4.8,4.7,4.6,4.6,no,yes,yes
12,"Tveria, Lower Galilee, Israel",4.67 ·,7,1,7,1,393,4.5,4.7,4.8,4.6,4.8,4.6,no,yes,yes
13,"Tiberias, North District, Israel",4.32 ·,2,1,1,1,334,4.2,4.7,4.8,4.4,4.7,4.4,yes,yes,yes
14,"Tiberias, North District, Israel",4.77 ·,4,1,3,2,"1,020",4.6,5,4.9,5,4.8,4.7,no,yes,yes
15,"Tiberias, North District, Israel",4.89 ·,8,2,4,2,413,4.7,5,4.9,4.9,4.8,4.9,no,yes,yes
16,"Tiberias, North District, Israel",5.0 ·,6,3,5,1,359,4.8,5,4.9,4.8,4.8,5,yes,yes,yes
17,"Tiberias, North District, Israel",4.71 ·,5,2,3,1,"1,020",4.6,4.8,4.8,4.9,4.9,4.7,yes,yes,yes
18,"Tiberias, North District, Israel",4.57 ·,4,1,4,1.5,313,4.6,4.8,4.8,4.7,4.8,4.6,no,yes,yes
19,"Tiberias, North District, Israel",4.73 ·,8,2,4,1.5,173,4.9,4.9,4.9,4.8,4.8,4.6,no,yes,yes
20,"Tiberias, North District, Israel",4.73 ·,8,2,4,1.5,173,4.9,4.9,4.9,4.8,4.8,4.6,no,yes,yes
21,"Tiberias, North District, Israel",4.47 ·,3,1,1,1,329,4.8,4.7,4.7,4.5,4.8,4.5,yes,yes,yes
22,"Tiberias, North District, Israel",4.86 ·,6,2,3,1,329,4.9,5,4.9,4.9,5,4.9,yes,yes,yes
23,"Tiberias, North District, Israel",4.69 ·,2,1,1,1,493,4.8,4.9,4.9,4.8,4.9,4.6,no,yes,yes
24,"טבריה, מחוז הצפון, Israel",4.73 ·,2,1,1,1,307,4.8,4.9,4.7,4.8,4.8,4.7,no,yes,yes
25,"Tiberias, North District, Israel",4.42 ·,1,4,6,2,"1,299",4.7,4.4,4.5,4.6,4.8,4.4,yes,yes,yes
26,"Tiberias, North District, Israel",,2,Studio,1,1,451,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
27,"Tiberias, North District, Israel",4.93 ·,8,3,5,2,538,4.8,4.9,4.9,4.9,4.8,4.8,yes,yes,yes
28,"Tiberias, North District, Israel",3.0 ·,3,1,2,1,401,3.5,4,3.8,3.5,3.8,3,no,yes,yes
29,"Tiberias, North District, Israel",4.80 ·,6,2,3,1.5,594,4.7,4.9,4.8,4.6,5,4.7,yes,yes,yes
30,"PORIYYA LLIT, North District, Israel",4.75 ·,4,1,1,1,379,5,4.8,5,5,5,4.8,no,yes,yes
31,"Tiberias, North District, Israel",5.0 ·,6,3,3,2,"1,786",5,4.8,5,5,5,5,no,yes,yes
32,"Tiberias, North District, Israel",4.63 ·,5,2,3,1.5,550,4.6,5,5,4.5,4.1,4.8,no,yes,yes
33,"Tiberias, North District, Israel",Nan,6,3,3,1,800,Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
34,"Tiberias, North District, Israel",4.93 ·,1,4,9,2.5,"1,459",4.8,4.9,4.9,5,4.9,4.8,no,yes,yes
35,"Tiberias, North District, Israel",4.80 ·,1,4,7,2.5,"1,563",4.7,5,5,5,4.9,4.7,no,yes,yes
36,"Tiberias, North District, Israel",4.40 ·,2,1,1,1,400,4.4,4.2,4.2,4.6,5,4.2,no,yes,yes
37,"Tiberias, North District, Israel",4.70 ·,2,1,1,1,393,4.8,4.9,4.8,4.7,4.8,4.5,no,yes,yes
38,"Tiberias, North District, Israel",4.0 ·,2,Studio,1,1,293,4,3.7,3.7,3.7,4,3.7,no,yes,yes
39,"Migdal, North District, Israel",4.82 ·,6,2,2,2,"1,486",4.8,4.7,5,4.9,4.9,4.7,yes,yes,yes
40,"Migdal, North District, Israel",4.82 ·,6,2,2,2,"1,486",4.8,4.7,5,4.9,4.9,4.7,yes,yes,yes
41,"Tiberias, North District, Israel",4.50 ·,6,1,5,1,130,4.5,5,4.8,5,5,4.2,no,yes,yes
42,"Tiberias, North District, Israel",4.88 ·,6,2,3,1,353,4.7,4.9,5,4.9,4.8,4.8,yes,yes,yes
43,"Tiberias, North District, Israel",4.56 ·,3,1,2,1,329,4.8,4.7,4.7,4.7,4.8,4.5,yes,yes,yes
44,"Tiberias, North District, Israel",4.73 ·,6,2,3,1,"1,200",4.7,4.6,4.6,4.8,4.8,4.6,Nan,Nan,Nan
45,"Tiberias, North District, Israel",4.64 ·,2,Studio,1,1.5,307,4.6,4.9,4.7,4.7,4.6,4.7,no,yes,yes
46,"טבריה, מחוז הצפון, Israel",4.80 ·,2,1,1,1,307,4.9,4.9,4.5,4.5,5,4.9,no,yes,yes
47,"Migdal, North District, Israel",4.59 ·,7,2,2,1,207,4.8,4.9,4.8,4.7,4.8,4.7,yes,yes,yes
48,"Kfar Hittim, North District, Israel",4.34 ·,7,2,2,2,454,4.3,4.7,4.6,4.5,4.7,4.4,yes,yes,yes
49,"Tiberias, North District, Israel",5.0 ·,6,3,3,2,"1,214",4.9,5,5,5,5,4.8,no,yes,yes
50,"Tiberias, North District, Israel",Nan,4,1,2,1,286,Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
51,"Tiberias, North District, Israel",4.86 ·,8,2,3,2,536,4.7,4.9,4.7,4.7,4.8,4.6,yes,yes,yes
52,"Tiberias, North District, Israel",,1,1,1,1,229,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
53,"Tiberias, North District, Israel",4.74 ·,2,1,1,1,382,4.6,4.9,4.7,4.8,4.9,4.6,yes,yes,yes
54,"Tiberias, North District, Israel",,2,1,1,1,534,Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
55,"Tiberias, North District, Israel",5.0 ·,7,2,6,1,514,5,5,5,5,4.4,4.8,yes,yes,yes
56,"Poriya Ilit, North District, Israel",4.97 ·,4,1,3,1,251,5,5,5,5,4.9,4.9,no,yes,yes
57,"פוריה עילית, מחוז צפון, Israel",4.77 ·,2,1,1,1,386,4.7,4.8,4.9,4.9,4.7,4.7,no,yes,yes
58,"Mount Arbel, North District, Israel",,4,1,2,1,130,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
59,"Tiberias, North District, Israel",Nan,4,Studio,2,1,451,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
60,"Tiberias, North District, Israel",Nan,4,Studio,2,1,451,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
61,"פוריה עילית, מחוז צפון, Israel",4.77 ·,2,1,1,1,386,4.7,4.8,4.9,4.9,4.7,4.7,no,yes,yes
62,"Poria Illit, Israel",4.90 ·,2,1,1,1,182,5,5,5,4.9,4.9,4.9,no,yes,yes
63,"Tiberias, North District, Israel",5.0 ·,6,2,3,1,335,5,5,5,4.9,4.8,5,yes,yes,yes
64,"Tiberias, North District, Israel",4.64 ·,3,1,1,1,329,4.8,4.8,4.8,4.7,4.8,4.6,yes,yes,yes
65,"Tiberias, North District, Israel",4.81 ·,8,3,5,2,"1,190",4.7,4.7,4.9,4.8,4.9,4.8,yes,yes,yes
66,"Tiberias, North District, Israel",Nan,2,1,1,1.5,320,Nan,Nan,Nan,Nan,Nan,Nan,no,no,yes
67,"Tiberias, North District, Israel",4.85 ·,4,2,3,1,529,4.9,4.8,4.8,4.8,4.9,4.9,no,yes,yes
68,"Tiberias, North District, Israel",4.33 ·,4,1,2,1,520,4.4,4.2,4.3,4.4,4.6,4.3,no,yes,yes
69,"Tiberias, North District, Israel",,1,4,4,3,"1,242",Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
70,"Sea of Galilee, Israel",5.0 ·,8,4,5,2.5,"1,986",5,5,5,5,5,4.8,no,yes,yes
71,"Tiberias, North District, Israel",Nan,4,1,2,1,286,Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
72,"Migdal, North District, Israel",4.86 ·,4,1,2,1,915,4.9,4.9,5,4.9,5,4.7,yes,yes,yes
73,"Kfar Hittim, North District, Israel",4.49 ·,7,2,3,2.5,517,4.5,4.7,4.7,4.6,4.7,4.5,no,yes,yes
74,"Tiberias, North District, Israel",Nan,4,1,2,1,537,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
75,"Tverya, North District, Israel",4.67 ·,2,1,1,1,255,5,5,5,5,5,5,no,yes,yes
76,"Tverya, North District, Israel",4.61 ·,9,3,3,2,"1,399",4.8,4.8,4.8,4.7,4.7,4.4,no,yes,yes
77,"Tiberias, North District, Israel",4.67 ·,6,2,3,1,800,4.3,4.3,4.3,4.3,4.7,4.7,yes,yes,yes
78,"Tiberias, North District, Israel",4.60 ·,9,3,7,2.5,363,4.5,4.9,4.9,4.7,4.8,4.6,no,yes,yes
79,"Tiberias, North District, Israel",Nan,4,1,2,1,360,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
80,"Tiberias, North District, Israel",5.0 ·,8,3,5,2,"1,082",4.8,5,5,5,5,5,yes,yes,yes
81,"Tiberias, North District, Israel",Nan,1,3,12,1.5,178,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
